Year,State,City,Station,Frequency,Download Link
2012,['Andhra Pradesh'],['Amaravati'],"['Secretariat, Amaravati - APPCB']",15 min,Download successful
2012,['Andhra Pradesh'],['Amaravati'],"['Secretariat, Amaravati - APPCB']",15 min,Download successful
